file_name,file_path,region,modality,class_raw,class_norm,geometry_type,part_id,area_m2,perimeter_m,centroid_x,centroid_y,minx,miny,maxx,maxy
Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,Артпозиции_Иссык_Куль,SpOr,курганы_поврежденные,kurgany_povrezhdennye,Polygon,0,143.27154820601416,43.236524426325545,8477848.932865793,5217375.984088396,8477842.19069271,5217369.456347945,8477855.691742599,5217382.485333153
Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,Артпозиции_Иссык_Куль,SpOr,курганы_поврежденные,kurgany_povrezhdennye,Polygon,0,328.1170714510694,65.8217485046774,8477379.295021506,5217595.153544003,8477367.860100793,5217585.661972045,8477389.575076139,5217605.866340411
Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,Артпозиции_Иссык_Куль,SpOr,курганы_поврежденные,kurgany_povrezhdennye,Polygon,0,226.01837716210002,54.57377587771492,8477409.64001203,5217617.897746725,8477400.810215557,5217609.076380242,8477417.804544087,5217626.448360519
Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_курганы_поврежденные.geojson,Артпозиции_Иссык_Куль,SpOr,курганы_поврежденные,kurgany_povrezhdennye,Polygon,0,157.36427001914407,45.711715454916785,8477430.871934803,5217642.808135432,8477423.846972011,5217634.756698912,8477437.442434836,5217650.429246336
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,234.62911041592582,62.155316376522364,8477517.979034424,5217440.208828031,8477506.74153008,5217430.447104793,8477529.778286533,5217450.084995541
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,146.68553458723596,55.40914367167737,8477531.862653673,5217399.025543269,8477522.22525163,5217392.493104405,8477544.12905285,5217404.766786123
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,116.75298564964542,43.294481582841144,8477576.757023778,5217381.758862448,8477569.054068033,5217374.365820637,8477584.537789583,5217389.0942386985
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,94.37934127476754,39.335328117823465,8477582.117674885,5217369.498269624,8477576.984754682,5217363.225094155,8477587.559003545,5217375.687601745
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,110.30830642150241,42.02360525888822,8477583.680520123,5217350.566207658,8477578.306535788,5217345.097810388,8477588.975197589,5217355.860885125
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,114.78749218984075,43.21827316187534,8477578.082090465,5217337.569335188,8477570.281436207,5217329.802914708,8477585.670744821,5217344.908984514
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,112.96907646164901,42.79940122522761,8477569.900664305,5217329.095413036,8477562.633988367,5217321.305750442,8477577.456819363,5217336.506233185
Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,geojson_downloads/Артпозиции_Иссык_Куль_SpOr_фортификации.geojson,Артпозиции_Иссык_Куль,SpOr,фортификации,fortifikatsii,Polygon,0,145.95460276247866,48.50096547068678,8477557.873723175,5217319.21576724,8477549.416177286,5217310.92032745,8477566.976983435,5217327.2537654275
