image_id,image_path,label_path,split,modality,source_class_names,n_objects,bbox_area_min,bbox_area_median,bbox_area_max,bbox_width_min,bbox_width_median,bbox_width_max,bbox_height_min,bbox_height_median,bbox_height_max,valid_fraction,tile_touches_raster_edge,has_edge_object,preview_path,decision,reason,comment
train_train_000000,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000000.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000000.txt,train,Li,,0,,,,,,,,,,0.7568905353546143,False,False,previews/train_train_000000.jpg,,,
train_train_000001,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000001.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000001.txt,train,Li,,0,,,,,,,,,,0.9999477863311768,False,False,previews/train_train_000001.jpg,,,
train_train_000002,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000002.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000002.txt,train,Li,gorodishcha,1,213792.0,213792.0,213792.0,393.0,393.0,393.0,544.0,544.0,544.0,0.9998927116394044,False,True,previews/train_train_000002.jpg,,,
train_train_000003,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000003.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000003.txt,train,Li,gorodishcha,1,518196.0,518196.0,518196.0,868.0,868.0,868.0,597.0,597.0,597.0,0.987013816833496,False,False,previews/train_train_000003.jpg,,,
train_train_000004,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000004.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000004.txt,train,Li,,0,,,,,,,,,,0.5332608222961426,False,False,previews/train_train_000004.jpg,,,
train_train_000005,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000005.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000005.txt,train,Li,,0,,,,,,,,,,0.9999525547027588,False,False,previews/train_train_000005.jpg,,,
train_train_000006,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000006.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000006.txt,train,Li,,0,,,,,,,,,,0.8640711307525635,False,False,previews/train_train_000006.jpg,,,
train_train_000007,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000007.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000007.txt,train,Li,,0,,,,,,,,,,0.999952793121338,False,False,previews/train_train_000007.jpg,,,
train_train_000008,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000008.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000008.txt,train,Li,gorodishcha,1,80275.0,80275.0,80275.0,475.0,475.0,475.0,169.0,169.0,169.0,0.9921116828918456,False,True,previews/train_train_000008.jpg,,,
train_train_000009,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000009.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000009.txt,train,Li,gorodishcha,1,520.0,520.0,520.0,20.0,20.0,20.0,26.0,26.0,26.0,0.7508533000946045,True,True,previews/train_train_000009.jpg,,,
train_train_000010,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000010.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000010.txt,train,Li,gorodishcha,1,23858.0,23858.0,23858.0,79.0,79.0,79.0,302.0,302.0,302.0,0.9509124755859376,False,True,previews/train_train_000010.jpg,,,
train_train_000011,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000011.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000011.txt,train,Li,gorodishcha,1,326781.0,326781.0,326781.0,637.0,637.0,637.0,513.0,513.0,513.0,0.5292649269104004,False,False,previews/train_train_000011.jpg,,,
train_train_000012,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000012.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000012.txt,train,Li,,0,,,,,,,,,,0.3630814552307129,False,False,previews/train_train_000012.jpg,,,
train_train_000013,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000013.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000013.txt,train,Li,,0,,,,,,,,,,0.7561681270599365,True,False,previews/train_train_000013.jpg,,,
train_train_000014,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000014.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000014.txt,train,SpOr,gorodishcha,1,8030.0,8030.0,8030.0,110.0,110.0,110.0,73.0,73.0,73.0,1.0,True,False,previews/train_train_000014.jpg,,,
train_train_000015,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/train/train_000015.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/train/train_000015.txt,train,SpOr,gorodishcha,1,8030.0,8030.0,8030.0,110.0,110.0,110.0,73.0,73.0,73.0,1.0,True,False,previews/train_train_000015.jpg,,,
val_val_000016,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/val/val_000016.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/val/val_000016.txt,val,Li,,0,,,,,,,,,,0.9552559852600098,True,False,previews/val_val_000016.jpg,,,
val_val_000017,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/images/val/val_000017.png,/Users/Di/Documents/GitHub/My projects/Geodata_Archaeology_CV/datasets/dataset_yolo_bbox/labels/val/val_000017.txt,val,Li,,0,,,,,,,,,,0.9998798370361328,False,False,previews/val_val_000017.jpg,,,
